balancing_on,codneg,nomres,codcvm,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2014-04-10,CYRE3,CYRELA REALT,14460,2014-03-20 19:48:31,2013-12-31,416.659,2653.59,1002.012,0.0812486978704353,5599.89696,8253.48696,0.1214046868743099,30
2015-04-10,CVCB3,CVC BRASIL,23310,2015-02-09 20:27:56,2014-12-31,131.465335,-50.499,324.084,0.5238336921144082,2107.38932005,2056.8903200500004,0.15756017559172622,1
2015-04-10,MGLU3,MAGAZ LUIZA,22470,2015-02-26 18:31:29,2014-12-31,181.494467,848.478,490.928,0.2524757488461757,921.99189236,1770.46989236,0.27728683900159584,2
2015-04-10,PCAR4,P.ACUCAR-CBD,14826,2015-02-12 19:44:08,2014-12-31,265.283,-1421.0,4004.0,0.209152354570637,26798.88866,25377.88866,0.15777514251258443,3
2015-04-10,ETER3,ETERNIT,5762,2015-03-12 08:31:33,2014-12-31,179.0,79.534,127.796,0.1506156384597252,553.11,632.644,0.20200302223683464,4
2015-04-10,HGTX3,CIA HERING,14761,2015-02-26 18:09:37,2014-12-31,164.611,-158.614,357.266,0.2570102108438987,2745.71148,2587.09748,0.13809529898347706,5
2015-04-10,SEER3,SER EDUCA,23221,2015-04-01 11:32:12,2014-12-31,125.213244,-28.729,229.349,0.2531602564209772,1731.69916452,1702.97016452,0.134675876758325,6
2015-04-10,NATU3,NATURA,19550,2015-02-11 19:21:06,2014-12-31,431.239,2285.224,1364.672,0.2622914858107523,12022.943319999998,14308.167319999999,0.09537713457491215,7
2015-04-10,BEMA3,BEMATECH,20656,2015-03-10 17:39:31,2014-12-31,51.56827,-38.052,71.953,0.1164524996505614,523.4179405,485.36594049999997,0.14824484784795072,8
2015-04-10,BEEF3,MINERVA,20931,2015-03-27 18:07:32,2014-12-31,178.00009,2851.663,593.553,0.1175629010844434,1450.7007335,4302.3637335,0.13795974417001253,9
2015-04-10,EZTC3,EZTEC,20770,2015-03-18 22:12:42,2014-12-31,146.72412,272.486,436.377,0.1261735069158925,3019.5823895999997,3292.0683895999996,0.1325540506322901,10
2015-04-10,BRKM5,BRASKEM,4820,2015-02-12 09:39:42,2014-12-31,797.265348,16253.475,3569.208,0.1069727195818228,9096.79762068,25350.27262068,0.14079564560928415,11
2015-04-10,RAPT4,RANDON PART,14109,2015-03-12 11:27:34,2014-12-31,304.731,1058.638,369.412,0.0870675075876801,1121.41008,2180.04808,0.16945130861517513,12
2015-04-10,TGMA3,TEGMA,20800,2015-03-26 18:29:15,2014-12-31,66.002915,281.498,134.646,0.1390786036793877,1015.7848618500001,1297.28286185,0.10379077991363198,13
2015-04-10,DIRR3,DIRECIONAL,21350,2015-03-16 19:13:34,2014-12-31,153.265983,283.188,243.658,0.0811422891396048,976.3043117100001,1259.4923117100002,0.19345731429609755,14
2015-04-10,MRVE3,MRV,20915,2015-03-05 20:29:56,2014-12-31,449.139,1284.533,703.676,0.0904960635260611,3844.6298400000005,5129.162840000001,0.13719119902225602,15
2015-04-10,GRND3,GRENDENE,19615,2015-02-12 17:47:55,2014-12-31,300.72,-489.439,389.413,0.1398264278598953,5019.016800000001,4529.577800000001,0.08597114724467254,16
2015-04-10,WEGE3,WEG,5410,2015-02-25 07:38:22,2014-12-31,807.176538,-101.027,1094.352,0.1435925639938831,13043.97285408,12942.94585408,0.08455200325627785,17
2015-04-10,JBSS3,JBS,20575,2015-03-11 21:25:25,2014-12-31,2943.644008,25168.713,7829.443,0.1022932108013225,48422.9439316,73591.6569316,0.10639036171283793,18
2015-04-10,LEVE3,METAL LEVE,8575,2015-03-16 18:24:13,2014-12-31,128.3085,303.023,278.735,0.1116087879473616,2566.17,2869.193,0.09714752545402139,19
2015-04-10,CSAN3,COSAN,19836,2015-03-18 21:19:19,2014-12-31,407.214353,5857.41,1481.972,0.1371902784547357,11976.17412173,17833.58412173,0.08310006501689335,20
2015-04-10,RENT3,LOCALIZA,19739,2015-03-24 09:03:18,2014-12-31,211.793,1322.277,726.637,0.1610529518456864,8249.337350000002,9571.614350000002,0.07591582500396078,21
2015-04-10,HBOR3,HELBOR,20877,2015-03-24 18:57:34,2014-12-31,257.7,1189.273,312.23,0.0696041780381433,1005.03,2194.303,0.1422911967946086,22
2015-04-10,ANIM3,ANIMA,23248,2015-02-26 18:39:42,2014-12-31,82.865891,-6.842,121.562,0.1361091846775014,1471.69822416,1464.85622416,0.08298561865326265,23
2015-04-10,CCRO3,CCR SA,18821,2015-04-02 19:03:18,2014-12-31,1765.5872,8862.114,2863.15,0.1609369347088028,29432.338624000004,38294.452624000005,0.07476670389082932,24
2015-04-10,CYRE3,CYRELA REALT,14460,2015-03-19 19:24:18,2014-12-31,399.743,2602.782,960.263,0.0765795776299529,5440.50223,8043.28423,0.11938692859048697,25
2015-04-10,FESA4,FERBASA,3069,2015-02-27 17:58:50,2014-12-31,88.32,-234.656,74.286,0.0470028434419644,581.1456,346.48959999999994,0.2143960453647094,26
2015-04-10,MYPK3,IOCHP-MAXION,11932,2015-02-25 17:19:08,2014-12-31,94.863,2175.327,417.703,0.0731747143180208,1083.33546,3258.6624600000005,0.12818234632377357,27
